Task_ID,Developer_ID,Task_Complexity,Work_Hours,Task_Duration,Errors,Stress_Level,Heart_Rate,Sleep_Quality,Multitasking,Deadline_Pressure,Cognitive_Strain
35,159,Low,10,0.741620459,2,Low,87,Average,Yes,High,100
36,179,High,7,2.954476521,2,Low,66,Poor,Yes,High,125
37,114,Low,4,2.314253932,0,High,75,Good,Yes,Medium,90
38,161,Medium,9,2.237311828,4,Medium,73,Good,Yes,Low,155
39,161,Medium,6,1.551558828,4,Medium,96,Average,Yes,High,140
40,146,High,4,3.666357031,3,Medium,98,Poor,Yes,Medium,140
41,161,Medium,6,0.816702021,2,Medium,86,Poor,No,Low,120
42,150,Low,8,3.544384031,1,Medium,89,Poor,Yes,High,100
43,154,Medium,6,1.818468208,1,Medium,74,Good,Yes,High,110
44,163,High,4,3.582182306,2,Medium,98,Average,Yes,Medium,130
45,102,High,7,3.050665104,4,Low,77,Good,Yes,High,145
46,150,Medium,4,0.864597543,2,High,70,Average,No,Medium,130
47,106,Medium,4,3.410377003,3,High,81,Good,Yes,Medium,140
48,120,High,8,2.887618918,2,Low,63,Poor,No,Low,130
49,172,Low,10,0.613056695,0,Medium,62,Average,Yes,Medium,100
50,138,Medium,5,0.967959387,4,Medium,83,Average,Yes,High,135
51,117,Medium,4,2.724698195,0,Low,73,Good,No,High,70
52,103,Low,8,2.81910176,0,High,62,Good,No,Medium,110
53,188,Medium,7,3.113280015,2,Medium,90,Poor,No,High,125
54,159,Low,8,3.020858903,2,Medium,94,Good,No,High,110
55,113,Medium,11,2.808319841,1,Low,90,Good,No,Medium,115
56,108,High,8,3.181836156,0,Low,71,Average,No,High,110
57,189,Low,6,2.512799971,2,Low,69,Good,No,Medium,80
58,152,High,5,1.412769849,1,Low,79,Good,Yes,Low,105
59,101,Low,5,3.693318148,0,Medium,77,Good,No,Medium,75
60,183,Medium,9,0.563749108,1,High,95,Average,No,Low,145
61,191,Low,10,1.78296602,4,Medium,78,Average,Yes,High,140
62,159,High,7,3.051046026,3,Low,76,Poor,No,Medium,135
63,170,High,9,1.995046144,0,Low,99,Poor,Yes,Medium,115
64,143,Medium,10,0.586920426,2,Medium,70,Good,No,Medium,140
65,107,High,10,0.730933161,4,Medium,64,Good,Yes,Medium,180
66,146,Medium,8,2.770230792,1,High,96,Poor,No,Low,140
67,134,High,7,3.877026098,3,Medium,95,Average,Yes,High,155
68,177,High,10,2.431522725,0,High,73,Average,Yes,High,160
69,180,High,7,2.273652363,3,Low,87,Average,Yes,Low,135
70,135,Medium,5,1.614138246,4,Medium,68,Average,No,Medium,135
71,149,Low,5,1.398417359,3,Low,97,Average,No,Low,85
72,103,Medium,5,0.573447436,0,Medium,88,Average,Yes,Medium,95
73,101,Low,4,1.455342037,4,Medium,84,Good,Yes,Low,110
74,105,Medium,8,2.071886543,1,Medium,67,Poor,Yes,Medium,120
75,153,Medium,11,1.192824241,0,Low,78,Average,No,Medium,105
76,103,Medium,7,0.80571796,3,Medium,61,Average,Yes,Low,135
77,153,Low,8,3.012047535,0,Low,65,Average,Yes,High,70
78,192,Low,10,3.631170942,4,Low,89,Average,Yes,Medium,120
79,162,Medium,7,3.778702244,3,Medium,61,Poor,No,High,135
80,117,High,7,2.66299555,1,High,78,Good,No,Low,155
81,189,Medium,9,0.684711039,2,Medium,72,Average,Yes,High,135
82,143,Medium,7,3.093019205,1,Medium,67,Average,Yes,High,115
83,133,High,7,0.885333568,0,Low,68,Average,Yes,High,105
84,173,Medium,6,2.844118412,2,Low,82,Average,No,Low,100
85,161,Low,11,3.227780425,4,Low,96,Poor,Yes,Medium,125
86,199,Medium,6,3.040526488,3,High,67,Average,No,High,150
87,113,Low,9,3.83159332,3,Low,68,Average,No,Medium,105
88,194,High,4,3.083511996,4,High,75,Average,No,High,170
89,147,Low,5,2.926234223,0,Medium,75,Poor,Yes,High,75
90,114,Medium,10,1.416101103,1,Medium,71,Poor,Yes,High,130
91,171,Low,10,3.736690403,2,High,84,Good,Yes,High,140
92,177,Low,11,1.128403548,4,Low,70,Average,No,Medium,125
93,186,High,7,3.66713814,0,Medium,77,Good,No,Medium,125
94,161,Low,8,1.594318902,0,High,72,Poor,No,High,110
95,139,Low,10,0.955572579,2,Medium,94,Average,Yes,Low,120
96,184,Medium,6,3.393390595,4,Low,77,Average,Yes,High,120
97,179,Low,5,0.508734088,1,Low,89,Good,No,High,65
98,181,Low,4,3.412309112,1,Medium,96,Poor,No,High,80
99,152,High,5,1.418091447,4,Low,89,Average,No,Medium,135
100,123,High,7,3.596524455,3,High,62,Poor,Yes,Low,175
101,125,High,11,2.920177138,1,Low,88,Average,Yes,High,135
102,188,High,5,2.831641665,3,Medium,84,Average,Yes,Medium,145
103,159,Medium,7,1.778618471,4,Medium,61,Poor,No,Medium,145
104,140,Low,9,0.707910409,0,Medium,64,Average,Yes,High,95
105,128,High,6,3.405255844,4,Medium,90,Poor,Yes,Low,160
106,114,High,6,1.098163283,0,High,64,Good,No,High,140
107,144,High,7,1.802905247,4,Medium,80,Good,No,Medium,165
108,164,Medium,8,2.601241399,3,Medium,85,Good,No,Low,140
109,188,Low,6,2.187888085,3,Low,66,Good,Yes,Medium,90
110,170,High,11,1.195312223,4,Low,89,Good,No,High,165
111,108,High,8,0.992157249,0,Low,93,Good,No,Medium,110
112,187,High,7,0.931361953,4,Low,87,Average,Yes,High,145
113,100,Low,9,3.520527585,0,Medium,73,Average,No,Medium,95
114,107,Low,7,0.610458422,3,Medium,77,Good,Yes,Medium,115
115,187,Low,9,3.919549909,2,Medium,76,Average,No,Low,115
116,162,High,10,1.194850416,1,Low,84,Good,Yes,Medium,130
117,110,Low,6,0.886128039,3,Low,65,Good,No,High,90
118,180,Low,11,2.519400792,4,High,64,Good,No,Medium,165
119,107,High,8,0.779950853,4,High,80,Average,Yes,Low,190
120,134,Low,11,2.608586421,0,High,98,Poor,Yes,Medium,125
121,134,High,7,3.477193257,1,High,79,Average,Yes,High,155
122,132,Medium,10,0.667643075,3,Medium,70,Average,Yes,High,150
123,104,High,6,3.299540116,1,High,64,Good,Yes,Low,150
124,140,Medium,11,1.880671043,1,Medium,97,Good,No,High,135
125,127,High,10,1.058217218,3,High,98,Good,No,Low,190
126,106,High,9,1.116337681,0,Low,94,Average,Yes,High,115
127,172,Low,7,3.715675903,0,High,94,Average,No,Medium,105
128,171,Low,10,0.887120132,0,Medium,84,Good,No,High,100
129,111,Low,11,3.533739755,2,Low,89,Average,No,Low,105
130,133,Medium,10,2.404856173,1,Low,61,Good,Yes,Low,110
131,132,High,9,0.636696626,2,High,79,Poor,Yes,High,175
132,147,Medium,5,2.12566651,0,Medium,95,Average,Yes,High,95
133,122,Medium,11,3.361073301,3,High,96,Good,Yes,Low,175
134,161,Low,9,3.041709757,1,Low,61,Average,No,High,85
135,187,High,5,2.210738462,3,Medium,86,Average,No,High,145
136,136,High,6,3.510174579,4,Low,91,Poor,No,Medium,140
137,198,Low,7,0.921276666,1,Medium,63,Average,Yes,Low,95
138,143,Medium,10,3.684793687,3,Medium,86,Average,Yes,Medium,150
139,185,Low,6,3.46254423,0,Medium,89,Good,Yes,Medium,80
140,190,Medium,4,2.97896889,2,Low,62,Average,Yes,Low,90
141,134,Medium,9,3.362607097,3,Low,86,Average,No,High,125
142,164,Low,6,2.403354274,4,Low,97,Good,No,High,100
143,198,Medium,6,2.863068502,0,High,95,Average,No,Low,120
144,146,Medium,10,2.462093247,4,Low,60,Average,Yes,Low,140
145,177,Medium,5,1.743999857,2,Low,94,Average,No,Medium,95
146,102,Medium,9,2.491012791,4,Medium,71,Good,No,High,155
147,100,Low,5,1.401128664,3,High,94,Good,No,High,125
148,104,High,7,2.040977098,3,Low,77,Good,No,High,135
149,189,High,6,1.482713925,0,Low,96,Average,Yes,Low,100
150,113,Medium,9,0.930107263,2,Medium,82,Average,Yes,High,135
151,126,Low,6,1.626516497,2,High,92,Average,No,Medium,120
152,108,High,7,3.481955264,1,Medium,73,Average,No,Medium,135
153,178,High,8,1.833782697,1,Low,60,Good,Yes,Low,120
154,114,Low,7,3.118012771,3,Medium,86,Good,No,Medium,115
155,189,Medium,5,1.11319249,4,High,83,Average,Yes,High,155
156,141,Low,5,1.985467057,4,Medium,61,Average,Yes,Medium,115
157,176,Medium,11,0.901996243,0,Low,71,Good,Yes,Low,105
158,150,Low,6,0.985173722,2,Low,72,Poor,No,High,80
159,162,Medium,5,2.66102733,3,High,86,Good,No,Low,145
160,195,Medium,9,2.626186361,4,Medium,79,Average,Yes,Low,155
161,151,Medium,7,1.246801676,1,Medium,96,Average,Yes,Medium,115
162,195,Medium,6,2.16048118,3,Low,93,Average,No,Medium,110
163,103,Medium,7,3.521571584,0,Medium,65,Average,Yes,Medium,105
164,193,Medium,7,1.10970528,3,Low,67,Average,No,Low,115
165,122,Low,6,0.567236866,4,Low,80,Poor,No,High,100
166,114,Low,10,2.781982992,0,High,98,Poor,Yes,Medium,120
167,142,High,8,0.687243728,1,Low,80,Good,Yes,Medium,120
168,128,Low,11,3.929790835,1,Low,65,Average,No,Low,95
169,135,High,10,2.633670993,4,High,89,Average,Yes,Low,200
170,112,High,5,2.146387235,0,Low,69,Average,Yes,High,95
171,131,Low,4,2.00497389,1,Medium,70,Good,No,Medium,80
172,170,Medium,11,2.505747305,0,Medium,60,Good,No,Low,125
173,158,Medium,10,0.817185529,3,High,69,Good,Yes,Medium,170
174,185,High,4,3.755066706,2,High,84,Average,Yes,Medium,150
175,127,High,4,2.68974724,2,Medium,75,Good,Yes,Medium,130
176,165,High,5,1.143924742,2,Low,78,Good,Yes,High,115
177,141,Low,8,2.469033688,1,Medium,69,Average,Yes,Low,100
178,144,Medium,7,0.96639777,4,High,73,Poor,Yes,Medium,165
179,161,Medium,6,0.561434511,2,Low,62,Good,No,Medium,100
180,156,Medium,8,2.706809448,4,Medium,63,Average,Yes,Low,150
181,105,Low,4,2.769691697,2,Low,99,Good,No,Medium,70
182,127,Low,11,2.54293804,3,Low,92,Poor,No,Low,115
183,127,High,9,1.142191215,2,Low,79,Average,Yes,Medium,135
184,143,Medium,5,2.612004505,4,Low,74,Average,No,High,115
185,183,Medium,10,0.697788293,1,High,66,Average,Yes,High,150
186,129,Medium,11,2.632334245,3,High,62,Good,No,High,175
187,161,High,5,2.439059567,4,Medium,86,Average,Yes,Low,155
188,174,High,10,2.793391908,0,Medium,96,Average,No,Low,140
189,191,Low,6,3.63416462,2,Medium,88,Average,No,Low,100
190,188,Low,9,3.476253368,3,High,85,Average,No,High,145
191,161,Low,7,3.93228967,1,High,86,Average,Yes,High,115
192,196,High,8,3.916843615,0,Low,84,Average,No,Low,110
193,100,Medium,9,3.203118927,2,Medium,99,Average,No,Medium,135
194,126,Medium,8,3.847468678,3,Medium,89,Average,Yes,Medium,140
195,161,Medium,8,3.535493601,4,High,79,Average,Yes,High,170
196,176,Medium,7,3.046538575,2,Medium,66,Good,No,High,125
197,102,High,7,0.763844891,3,High,88,Average,Yes,Low,175
198,169,Medium,10,0.671674609,2,High,93,Average,No,Low,160
199,171,Low,7,3.431598486,3,Medium,85,Poor,Yes,High,115
200,126,Low,6,2.213795503,4,High,86,Average,No,Low,140
201,108,Medium,5,3.351123395,2,Low,68,Average,Yes,Medium,95
202,161,High,4,1.595213947,3,Low,81,Average,Yes,Low,120
203,136,Medium,7,1.891774504,0,Medium,71,Average,No,Medium,105
204,196,High,5,2.950653524,1,Low,65,Average,No,Low,105
205,150,High,10,3.703643579,3,Low,65,Good,Yes,Low,150
206,143,Low,7,0.807165161,3,Medium,86,Poor,No,Low,115
207,123,Low,4,3.515173506,3,Medium,78,Poor,Yes,Medium,100
208,178,Low,9,3.275544537,2,High,65,Poor,Yes,Medium,135
209,158,High,11,1.604387448,1,High,76,Good,Yes,High,175
210,131,Low,7,1.743258149,2,Medium,88,Poor,Yes,Low,105
211,195,Medium,5,0.66261517,3,Medium,82,Good,Yes,Low,125
212,187,Medium,10,0.555092139,3,Medium,76,Good,No,High,150
213,151,High,10,2.169521442,1,Medium,80,Good,Yes,High,150
214,161,Low,11,0.834388759,0,Low,69,Good,Yes,Low,85
215,157,Medium,6,1.17900635,2,Medium,67,Poor,Yes,Low,120
216,151,Medium,10,3.463685198,0,Medium,73,Average,No,Medium,120
217,111,Medium,9,2.498599369,3,Low,90,Average,No,High,125
218,138,High,10,2.71771353,3,High,77,Good,Yes,High,190
219,101,Low,10,1.156177658,4,Medium,89,Average,Yes,High,140
220,102,High,9,3.400316316,4,Low,77,Average,No,High,155
221,155,Medium,11,3.537929204,0,Medium,84,Good,No,Low,125
222,180,Medium,11,2.331646578,4,Low,96,Average,No,Low,145
223,158,Medium,9,3.693952202,1,Low,84,Good,Yes,Medium,105
224,101,Medium,4,3.456900187,0,High,89,Average,Yes,High,110
225,101,Low,5,3.059634618,4,High,89,Average,Yes,Medium,135
226,191,Medium,8,3.069265705,4,Low,95,Average,Yes,High,130
227,153,Medium,10,0.868877159,1,High,70,Average,Yes,Medium,150
228,186,Medium,11,1.447926132,1,Low,98,Good,Yes,High,115
229,195,Medium,8,0.733965269,0,Low,86,Poor,Yes,Medium,90
230,196,High,8,0.530384232,2,Low,75,Poor,Yes,High,130
231,100,Medium,6,1.05408336,1,Low,97,Poor,Yes,High,90
232,118,Low,7,3.581705139,4,Low,91,Good,No,Medium,105
233,101,Medium,10,1.339559207,0,High,88,Poor,No,High,140
234,152,High,7,3.895538869,2,Low,69,Poor,Yes,High,125
235,143,High,7,2.590518498,0,Low,89,Average,Yes,Medium,105
236,189,Medium,6,1.330404707,4,Medium,70,Average,No,Low,140
237,131,High,8,2.239957812,2,Low,74,Average,Yes,Low,130
238,169,Low,9,1.266831879,2,Medium,82,Good,No,High,115
239,131,Medium,7,3.943907454,1,Medium,82,Average,No,Medium,115
240,167,High,11,3.465427444,3,Low,66,Average,Yes,Medium,155
241,154,High,9,0.591835761,4,Medium,73,Good,No,Medium,175
242,174,Medium,9,3.81721611,3,Low,68,Average,No,High,125
243,155,High,6,3.023727876,4,Low,87,Poor,Yes,High,140
244,116,Low,11,0.788334382,0,Low,65,Good,Yes,Low,85
245,137,High,6,2.847232112,3,Medium,81,Poor,Yes,Low,150
246,123,Medium,5,2.764243443,2,Medium,77,Average,No,Low,115
247,168,Low,10,1.26576061,1,Medium,97,Average,No,Medium,110
248,197,Low,7,3.15456345,4,Medium,81,Poor,Yes,High,125
249,169,Medium,8,0.804726462,1,Medium,68,Average,No,Medium,120
250,185,Low,4,2.213058134,4,Low,77,Average,Yes,High,90
251,110,Medium,11,0.534731225,2,High,80,Average,No,Low,165
252,115,Low,6,3.890581211,2,High,74,Good,No,Medium,120
253,196,Low,9,3.130472711,2,Medium,68,Average,Yes,Low,115
254,172,Medium,5,1.055982267,2,Low,61,Poor,Yes,Medium,95
255,158,Medium,4,1.69585914,2,Medium,73,Average,Yes,Medium,110
256,169,Medium,6,1.061968322,1,Low,80,Average,No,High,90
257,179,High,5,3.183161124,0,Medium,93,Good,Yes,Medium,115
258,192,High,9,0.706137139,3,Low,66,Average,Yes,Low,145
259,102,High,7,3.441423294,1,Medium,74,Good,No,High,135
260,119,Medium,10,3.797687186,3,Low,98,Good,Yes,Low,130
261,158,High,10,2.8681978,0,High,71,Average,No,High,160
262,135,Low,5,1.245379075,4,Low,66,Average,Yes,Low,95
263,118,Low,6,1.760315335,0,Medium,64,Good,No,High,80
264,189,Medium,10,2.170339562,0,High,98,Good,No,Low,140
265,166,High,10,2.616186703,4,Low,82,Average,Yes,High,160
266,118,Low,7,2.840320814,3,High,87,Average,No,Medium,135
267,119,Low,9,2.439751504,2,Low,93,Average,Yes,Medium,95
268,195,Low,8,1.729598723,4,High,84,Good,No,Medium,150
269,170,High,10,3.618210482,4,High,61,Poor,No,Medium,200
270,151,Medium,5,0.784872203,0,Low,68,Good,No,Medium,75
271,132,Low,4,2.13189619,4,High,93,Average,Yes,Low,130
272,139,Medium,11,3.214476935,1,Low,91,Average,No,Low,115
273,138,Medium,9,0.713054329,2,Low,71,Good,Yes,High,115
274,181,Medium,7,2.968673259,0,Low,78,Poor,Yes,Low,85
275,100,Low,9,3.36899068,3,Low,97,Average,No,Medium,105
276,110,High,7,2.812909545,3,Medium,69,Good,No,Medium,155
277,191,Medium,9,0.545279123,3,Medium,69,Good,Yes,Medium,145
278,156,Medium,11,1.130479595,3,Medium,94,Poor,No,High,155
279,188,Low,8,1.697395776,3,Low,96,Good,No,Medium,100
280,149,Medium,5,1.317915125,0,High,91,Poor,Yes,Low,115
281,122,Medium,4,3.869282491,1,Low,66,Average,No,High,80
282,130,Medium,10,2.780578699,1,Low,69,Poor,No,High,110
283,193,Low,8,1.539398351,3,Medium,97,Poor,No,Medium,120
284,141,High,5,3.753941245,1,High,86,Good,No,Low,145
285,198,Low,4,3.092079698,2,Medium,91,Good,No,Low,90
286,106,Medium,9,1.496125241,1,Medium,66,Average,No,Medium,125
287,115,High,11,1.826085493,4,Low,85,Good,No,Low,165
288,189,Medium,10,1.198001004,3,Low,81,Average,No,Medium,130
289,159,High,4,3.898758994,4,Medium,71,Good,Yes,Low,150
290,101,Medium,6,2.310537736,4,Medium,83,Poor,Yes,High,140
291,100,Medium,4,3.636198406,3,Low,88,Average,No,Medium,100
292,147,High,5,1.712749199,0,Medium,91,Average,Yes,Medium,115
293,111,Low,8,3.512945611,1,Medium,75,Good,Yes,Low,100
294,168,Medium,10,0.688603969,2,Medium,85,Average,No,Medium,140
295,136,High,8,3.937316111,0,Low,65,Good,Yes,High,110
296,131,Medium,10,3.692120285,2,Medium,60,Good,No,Low,140
297,108,Medium,6,1.771210307,3,Low,72,Average,Yes,Medium,110
298,198,Medium,5,3.211527579,1,Low,97,Average,Yes,Medium,85
299,118,High,11,3.132902743,0,Medium,65,Average,No,Medium,145
300,147,High,11,3.65439179,3,Medium,97,Average,No,Medium,175
301,179,Medium,4,1.575392434,0,Medium,71,Average,No,High,90
302,102,Medium,6,2.129320019,4,Low,68,Average,No,High,120
303,119,High,9,3.527498644,1,High,79,Average,Yes,Medium,165
304,123,Low,7,3.225028089,1,Low,98,Good,Yes,High,75
305,153,Low,9,1.877133516,3,High,86,Average,No,High,145
306,132,High,5,3.460038315,3,Low,62,Average,Yes,High,125
307,123,High,6,0.664339137,3,Low,83,Average,Yes,Medium,130
308,174,High,8,3.23716206,1,Low,74,Good,Yes,High,120
309,171,Medium,6,1.223680508,4,Low,93,Average,No,High,120
310,135,Low,7,1.501423177,1,Medium,91,Good,Yes,Medium,95
311,137,Medium,11,2.226251953,3,High,80,Good,No,High,175
312,183,Low,5,2.074070754,2,Low,60,Poor,Yes,High,75
313,198,Low,6,2.321995374,4,Medium,92,Average,Yes,High,120
314,188,High,10,2.406714585,1,High,70,Good,No,High,170
315,198,Low,9,1.660346919,2,Medium,62,Good,No,Medium,115
316,124,High,4,1.113296296,4,Low,81,Poor,No,Medium,130
317,192,Medium,9,3.189684303,1,High,69,Average,Yes,Low,145
318,117,Medium,5,1.899916522,3,Low,97,Average,No,Medium,105
319,181,Low,11,2.270443019,1,Medium,83,Good,Yes,Medium,115
320,165,Medium,6,2.756438514,4,Medium,66,Poor,Yes,Medium,140
321,153,Low,11,3.683732728,3,Low,95,Average,Yes,Low,115
322,134,High,9,2.976434909,0,Medium,60,Average,Yes,Medium,135
323,179,High,6,0.65910729,2,Low,60,Average,Yes,High,120
324,160,Medium,9,3.434961272,3,Low,85,Good,No,Low,125
325,140,Low,5,3.962742553,3,Low,76,Average,Yes,Low,85
326,199,High,8,2.153697589,4,High,70,Average,No,Low,190
327,132,Medium,11,3.893566178,4,High,62,Poor,Yes,High,185
328,167,Low,11,2.415650598,2,Low,69,Good,No,Low,105
329,132,Medium,9,2.108655986,4,Low,61,Average,No,Medium,135
330,113,High,4,1.659916677,3,Low,91,Average,No,High,120
331,120,Low,9,2.801442065,2,Medium,75,Average,No,High,115
332,147,Low,5,1.304371472,2,High,85,Average,Yes,High,115
333,119,High,9,0.867269765,1,High,99,Good,Yes,High,165
334,107,Low,4,0.595329859,3,Medium,98,Good,Yes,Low,100
335,106,Low,10,1.523330395,3,Medium,69,Good,No,Medium,130
336,166,Medium,4,1.885197913,4,Low,95,Average,Yes,Low,110
337,116,High,5,2.432268437,3,Low,89,Good,Yes,Medium,125
338,132,Medium,6,1.524624388,4,Medium,68,Average,No,Medium,140
339,147,High,9,3.944208503,3,Medium,64,Average,No,Low,165
340,175,Medium,8,1.521108089,1,High,66,Average,No,Low,140
341,158,Low,4,2.04341386,3,Low,95,Poor,No,High,80
342,185,High,10,0.861466579,1,Low,60,Poor,No,Low,130
343,121,Medium,4,1.412192797,3,Medium,86,Good,Yes,High,120
344,129,Low,9,0.669162489,3,High,71,Good,No,Medium,145
345,137,Medium,6,2.458280217,0,Medium,75,Average,Yes,High,100
346,150,Medium,11,3.128726391,3,Low,67,Average,Yes,High,135
347,153,Low,9,1.18498435,1,High,84,Good,No,Medium,125
348,107,Low,11,1.787688282,2,Medium,72,Average,Yes,High,125
349,126,Medium,10,0.558156794,1,Low,69,Good,Yes,High,110
350,126,High,10,3.438327195,3,Low,99,Good,Yes,Medium,150
351,197,Medium,5,3.229872337,4,Medium,92,Good,Yes,Low,135
352,120,High,8,0.721389108,0,Medium,94,Good,Yes,High,130
353,129,Low,9,1.777036633,4,Medium,96,Good,No,Low,135
354,196,Low,4,3.843503148,0,Medium,98,Good,No,Low,70
355,127,Low,4,1.872094696,0,Low,87,Good,No,High,50
356,163,Low,5,2.341730369,4,Low,75,Average,Yes,Medium,95
357,196,Low,6,1.743350014,3,High,67,Poor,No,Low,130
358,168,High,9,2.586459858,1,Medium,92,Average,Yes,High,145
359,160,High,7,3.923549065,4,Medium,94,Good,No,High,165
360,147,High,6,3.991258762,2,Low,97,Good,Yes,Medium,120
361,118,Low,4,3.211502423,0,Low,71,Good,No,High,50
362,103,High,10,1.915088843,1,Low,74,Average,Yes,Low,130
363,134,Medium,9,2.230512703,2,Low,76,Good,Yes,High,115
364,163,Low,10,1.748559648,1,Medium,86,Average,No,Medium,110
365,148,High,4,3.949511205,3,High,80,Poor,No,Medium,160
366,116,Medium,8,2.97716107,2,Low,80,Average,Yes,Medium,110
367,143,Low,6,2.071260059,4,High,76,Good,Yes,Medium,140
368,191,Medium,7,0.542403445,1,Medium,86,Average,Yes,Medium,115
369,129,Low,8,2.32169195,4,Low,71,Average,Yes,High,110
370,192,High,7,3.943748706,4,Medium,95,Poor,Yes,Low,165
371,145,Medium,8,2.330713181,1,Low,87,Average,Yes,Medium,100
372,105,High,6,1.138493399,1,Medium,84,Good,Yes,Low,130
373,198,Low,4,0.577328115,0,Low,68,Average,Yes,Low,50
374,136,Medium,7,1.741463153,0,Low,96,Poor,No,High,85
375,123,Medium,11,3.713798195,2,Medium,82,Good,No,Medium,145
376,192,Medium,6,3.987939379,2,Low,70,Average,Yes,Medium,100
377,145,Medium,7,3.808787912,2,Low,60,Average,No,High,105
378,152,High,11,3.052969976,0,Low,75,Good,Yes,Medium,125
379,194,High,6,2.45349955,4,Medium,72,Average,No,Low,160
380,198,High,8,2.567401512,3,High,79,Good,No,Low,180
381,159,High,6,2.386472032,3,Low,75,Poor,No,Medium,130
382,196,High,8,2.974672567,1,Low,75,Average,Yes,High,120
383,162,Medium,4,1.966056293,0,Medium,94,Average,Yes,Low,90
384,184,High,8,2.842214017,1,Low,91,Average,No,Medium,120
385,131,Medium,5,0.925642402,3,Medium,82,Average,Yes,Medium,125
386,186,Medium,4,1.429933573,1,Low,84,Poor,No,Low,80
387,132,Medium,10,3.426010636,0,Medium,87,Good,Yes,Low,120
388,166,Medium,10,3.663121258,0,Medium,61,Average,No,Low,120
389,117,Low,10,2.386528831,0,Low,62,Good,Yes,Low,80
390,124,High,9,0.61072466,3,Medium,90,Average,No,Medium,165
391,194,Medium,11,3.744407498,0,Medium,92,Poor,Yes,Medium,125
392,153,Low,9,2.957224903,2,Low,92,Average,No,Medium,95
393,157,Medium,6,1.949097733,2,Low,94,Poor,No,Medium,100
394,166,Low,6,2.594326301,0,Low,95,Good,Yes,Low,60
395,145,Low,11,2.004211921,2,Medium,85,Good,No,Medium,125
396,123,Low,5,2.128687294,0,Low,71,Average,No,High,55
397,131,Medium,6,3.60383453,3,Medium,70,Good,Yes,Low,130
398,146,Medium,4,1.063794864,2,Medium,65,Average,Yes,Low,110
399,185,High,4,0.862841974,3,High,84,Average,No,Low,160
400,122,High,10,0.509550606,2,Medium,93,Average,No,Medium,160
401,165,Medium,8,1.599001315,4,Medium,94,Poor,Yes,Medium,150
402,126,Medium,7,1.015948183,4,Medium,80,Good,No,Low,145
403,101,Medium,6,1.269949233,3,High,77,Average,No,Low,150
404,189,High,5,0.539336439,2,Low,67,Average,Yes,Low,115
405,116,Low,10,1.295183951,4,Low,93,Average,No,High,120
406,132,Low,11,1.664490537,0,Low,73,Poor,Yes,Low,85
407,108,High,9,0.610486237,1,Medium,78,Good,Yes,Medium,145
408,142,Medium,11,2.627664435,4,Low,79,Average,Yes,Low,145
409,147,Low,4,2.490801221,4,Low,63,Poor,Yes,High,90
410,138,Low,4,0.839625225,0,Medium,97,Poor,No,Medium,70
411,192,High,4,2.582534221,4,High,91,Average,Yes,Medium,170
412,141,High,7,3.995288715,4,High,85,Poor,No,High,185
